"","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-14","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-05","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-23","2020-12-31","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-04","2021-03-12","2021-03-19","2021-03-26","2021-04-01","2021-04-08","2021-04-14","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-21","2021-06-29","2021-07-09","2021-07-15","2021-07-30","2021-08-05"
"1","xi","li","li","xi","trump","trump","trump","trump","vote","trump","trump","trump","trump","trump","trump","white","trump","trump","redfield","trump","rally","trump","trump","trump","fauci","trump","trump","trump","trump","cdc","hurricane","loan","information","point","political","poll","try","handle","czech","czech","jordan","mask","mask","mask","mask","mask","biden","mask","biden","china","china","china","police","china","wuhan","china","china","china","quarantine","decision","report","yemen","community","zients","facility","country","pfizer","vaccine","dos","vaccine","share","smith","million","million","worker","missouri","travel","mask","rule"
"2","official","xi","xi","president","president","president","president","white","house","president","president","president","president","president","president","trump","house","president","trump","disease","tulsa","rally","penny","president","house","president","birx","birx","white","official","storm","ppp","system","american","official","letter","poll","try","prymula","putin","pilgrim","wear","wear","face","wear","trump","penny","biden","mask","team","province","outbreak","team","fine","china","chinese","chinese","venezuela","visitor","care","card","billion","reach","make","emergent","vaccine","bourla","patent","vaccine","dos","country","vaccine","dos","vaccine","say","state","weekend","house","believe"
"3","government","medium","wenliang","wuhan","administration","house","house","president","senate","house","vote","election","donald","donald","house","house","white","white","house","president","trump","president","president","white","trump","white","white","president","cdc","trump","laura","access","gov","schaffner","message","election","survey","work","support","republic","daily","guidance","hospital","wear","cost","wear","presidentelect","walensky","presidentelect","origin","hebei","beijing","china","police","chinese","wuhan","think","panel","campaign","cqc","strain","ill","ontario","shot","emergency","emergency","fda","world","covax","covax","dos","distribute","will","will","office","southwest","missouri","floor","without"
"4","outbreak","wenliang","police","praise","fund","penny","white","house","bill","white","house","vote","house","task","administration","president","president","house","president","redfield","campaign","white","house","convention","white","house","president","deborah","secret","senior","louisiana","landlord","collins","mccancekatz","schaffner","gavi","face","bad","brussels","minister","dutch","protect","rural","military","billion","american","trump","presidentelect","mountain","arrangement","shijiazhuang","province","city","outbreak","embarek","ben","investigate","fake","visitation","dnacpr","class","england","go","community","prefecture","dos","vaccine","dos","johnson","country","will","biden","vaccine","dos","celebration","move","record","rule","yet"
"5","report","anger","medium","chinese","azar","white","republican","senate","stimulus","american","election","house","china","force","donald","administration","cdc","administration","white","house","president","penny","rally","house","president","brief","house","white","administration","tournament","shelter","renter","free","child","detrimental","maintain","azar","austrian","wallonia","abroad","trial","cdc","committee","simple","face","face","white","joe","jha","mask","chinese","authority","chinese","team","origin","mission","market","sinopharm","statement","türeci","person","community","send","white","quality","administration","use","company","million","share","vaccine","million","canada","psaki","white","expect","arrival","rep","think"
"6","virus","death","chen","jinping","house","administration","penny","vote","trump","pelosi","wisconsin","task","republican","china","white","test","administration","convention","disease","dr","oklahoma","campaign","vice","republican","dr","fauci","obrien","force","tell","enclose","coast","troop","school","trump","disease","country","human","federal","situation","prymula","case","besser","bell","facility","tokyo","presidentelect","house","face","bright","beijing","commission","daxing","quarantine","market","product","december","difficult","origin","care","effectiveness","full","china","administration","house","commitment","fda","authorization","poor","share","request","covax","will","distribute","white","south","vaccinate","help","wear","power"
"7","state","social","jinping","speech","white","billion","administration","administration","package","stimulus","leader","fund","task","white","task","dr","donald","us","cancer","center","event","house","white","task","mcenany","task","fauci","task","house","agency","abbott","miss","maryland","barr","cdc","science","negative","visitor","car","deputy","iran","staff","cdc","surgical","cdc","sign","mike","team","plan","symptom","city","program","wuhan","wuhan","team","coronavirus","recommend","netherlands","david","reason","certificate","unite","underserved","brief","policy","use","submit","country","astrazeneca","nation","distribute","dos","biden","country","countrys","education","advisory","republican","mask"
"8","animal","police","doctor","whistleblower","response","fund","vice","republican","trillion","bill","republican","organization","white","house","bolsonaro","donald","american","obrien","cdc","white","wear","vice","mask","penny","discredit","briefing","kentucky","house","outside","task","marco","space","update","push","try","poor","get","closely","world","plan","sunday","hospital","face","buy","everyone","biden","vice","sturgeon","re","international","team","district","investigation","palace","animal","embarek","cnn","arrest","republican","study","dark","list","hear","say","easy","covax","food","manufacture","export","supply","million","country","white","even","host","package","big","passenger","another"
"9","market","whistleblower","online","response","penny","vice","economic","secretary","member","think","white","white","democratic","us","force","secretary","fauci","penny","robert","task","attend","tulsa","task","claim","statement","force","force","hydroxychloroquine","re","house","tropical","million","home","get","worry","worker","cost","negative","government","bring","iceland","nurse","airline","customer","atlanta","joe","treatment","house","joe","possible","round","commission","origin","violation","expert","host","seafood","chinese","version","tournament","wide","complete","reason","latino","affect","astrazeneca","emergency","astrazeneca","manufacture","billion","biden","go","shot","process","race","unfortunately","box","capitol","population"
"10","chinese","crisis","speech","revelation","request","mike","familiar","brazilian","democrat","penny","tedros","constitution","us","biden","congress","hahn","meet","north","prevention","carolina","white","task","campaign","vice","guideline","birx","tennessee","former","president","white","governor","identify","place","great","severe","key","body","limit","health","answer","umrah","pennsylvania","physician","retailer","foot","official","joe","incoming","take","wuhan","nhc","city","outbreak","quarantine","market","outbreak","origin","police","ago","take","tomorrow","global","expand","coordinator","mark","drug","ceo","drug","country","initiative","world","production","go","worker","track","classroom","busy","reinstate","therapist"
"11","central","lis","whistleblower","control","billion","package","rep","test","leader","aide","pompeo","senate","administration","election","want","task","republican","weekend","center","official","saturday","force","birx","force","interview","get","task","coordinator","shoot","haseltine","texas","flag","service","washington","practice","official","august","ask","minister","dog","strict","patient","member","defense","ski","white","monoclonal","wear","day","investigate","wuhan","report","province","central","outbreak","market","huanan","statement","level","person","global","increase","patient","administration","two","quality","administration","efficacy","african","johnson","sullivan","first","week","administer","protocol","drop","flight","mandate","house"
"12","epidemic","censorship","crisis","crisis","democrat","senate","meet","pass","republican","committee","task","source","force","brief","leader","redfield","washington","republican","appropriation","meet","house","event","mike","florida","secretary","press","re","think","ask","surprise","evacuate","credit","credit","infectious","public","president","vaccine","criticize","currently","educational","rule","line","defense","place","read","executive","president","administration","let","chinese","transmit","camp","leave","arrest","virus","team","chain","organization","analysis","ago","complete","state","close","impact","work","population","eua","shot","supply","million","official","world","land","erdogan","guideline","natural","limit","arrest","tweet"
"13","president","die","freedom","beijing","vice","vote","brazilian","penny","pelosi","receive","pelosi","voter","claim","birx","american","fauci","us","national","task","force","fauci","donald","force","remark","concern","claim","get","tell","comment","force","ghaly","phone","establish","try","infectious","public","mark","suspend","church","photograph","staff","mandate","dr","almost","several","bidens","mask","control","white","necessary","beijing","hebei","arrest","deadly","finding","think","way","ministry","within","provider","study","geneva","illinois","hospital","make","organization","company","organization","global","already","global","tranche","zients","june","physical","wear","sevens","nancy","relate"
"14","wild","censor","miss","beijings","xi","response","official","mnuchin","president","vice","organization","donald","romney","disinfectant","senate","positive","obama","go","director","cdc","mask","brief","tulsa","harmless","ask","bad","adviser","cdc","unite","bear","surge","amount","recognize","museum","azar","point","action","enforce","impossible","serve","capital","act","can","gottlieb","olympic","day","antibody","prevention","center","agree","cgtn","shijiazhuang","man","medium","human","plant","scientist","develop","traveler","november","within","ten","paris","take","shot","safety","approval","statement","kenya","card","work","us","president","plan","psaki","improve","minority","speaker","contract"
"15","medium","delete","journalist","police","senate","american","bolsonaro","primary","senator","vote","go","leader","brief","tweet","tweet","person","top","amid","hear","asymptomatic","dr","oklahoma","brief","event","work","instead","important","tweet","giroir","president","reopen","money","monthly","often","guard","low","percentage","upcoming","resign","subject","hospital","help","morris","priority","fit","house","american","rochelle","administration","biden","ryan","jilin","hotel","world","huanan","stretch","trace","june","effect","individual","say","urge","hockey","johnson","procedure","million","drug","covax","sii","shot","blinken","global","government","house","effort","among","movie","pelosi","write"
